year,driverRef,constructorRef,grid,position,driverName,constructorName
2017,stroll,williams,13,8.0,Lance Stroll,Williams
2017,massa,williams,11,9.0,Felipe Massa,Williams
2017,ocon,force_india,6,10.0,Esteban Ocon,Force India
2017,alonso,mclaren,10,11.0,Fernando Alonso,McLaren
2017,kevin_magnussen,haas,17,12.0,Kevin Magnussen,Haas F1 Team
2017,grosjean,haas,16,13.0,Romain Grosjean,Haas F1 Team
2017,gasly,toro_rosso,15,14.0,Pierre Gasly,Toro Rosso
2017,jolyon_palmer,renault,12,15.0,Jolyon Palmer,Renault
2017,hulkenberg,renault,8,16.0,Nico Hülkenberg,Renault
2017,wehrlein,sauber,18,17.0,Pascal Wehrlein,Sauber
2017,ericsson,sauber,19,18.0,Marcus Ericsson,Sauber
